,Adilabad
2016-01-01,67.0
2016-02-01,68.0
2016-03-01,71.0
2016-04-01,70.0
2016-05-01,71.0
2016-06-01,40.0
2016-07-01,60.0
2016-08-01,61.0
2016-09-01,58.0
2016-10-01,67.0
2016-11-01,63.0
2016-12-01,65.0
2017-01-01,64.0
2017-02-01,64.0
2017-03-01,68.0
2017-04-01,69.0
2017-05-01,71.0
2017-06-01,66.0
2017-07-01,62.0
2017-08-01,60.0
2017-09-01,61.0
2017-10-01,65.0
2017-11-01,63.0
2017-12-01,64.0
2018-01-01,66.0
2018-02-01,67.0
2018-03-01,70.0
2018-04-01,74.0
2018-05-01,74.0
2018-06-01,69.0
2018-07-01,64.0
2018-08-01,64.0
2018-09-01,62.0
2018-10-01,67.0
2018-11-01,75.0
2018-12-01,81.0
2019-01-01,76.0
2019-02-01,77.0
2019-03-01,79.0
2019-04-01,78.0
2019-05-01,80.0
2019-06-01,77.0
2019-07-01,78.0
2019-08-01,79.0
2019-09-01,73.0
2019-10-01,72.0
2019-11-01,79.0
2019-12-01,73.0
2020-01-01,78.0
2020-02-01,82.0
2020-03-01,71.0
2020-04-01,52.0
2020-05-01,62.81967213114754
2020-06-01,74.0
2020-07-01,74.0
2020-08-01,72.0
2020-09-01,72.0
2020-10-01,72.0
2020-11-01,69.47967479674797
2020-12-01,67.04065040650407
2021-01-01,64.52032520325203
2021-02-01,62.0
2021-03-01,73.0
2021-04-01,74.0
2021-05-01,67.0
2021-06-01,65.8782894736842
2021-07-01,64.79276315789474
2021-08-01,63.671052631578945
2021-09-01,62.54934210526316
2021-10-01,61.463815789473685
2021-11-01,60.3421052631579
2021-12-01,59.256578947368425
2022-01-01,58.13486842105263
2022-02-01,57.01315789473684
2022-03-01,56.0
2022-04-01,65.0
2022-05-01,60.0
2022-06-01,58.0
2022-07-01,48.0
2022-08-01,56.0
2022-09-01,56.0
2022-10-01,65.0
2022-11-01,58.0
2022-12-01,62.0
2023-01-01,62.54380993862026
2023-02-01,63.91398162109574
2023-03-01,41.91741318850871
2023-04-01,63.63790971301758
2023-05-01,57.749312454145624
2023-06-01,64.60674401263573
2023-07-01,48.59544998251835
2023-08-01,55.88308912752674
2023-09-01,48.847947318264985
2023-10-01,48.13338136466868
2023-11-01,59.36809097672241
2023-12-01,54.93217304258758
