,AQI
2016-01-01,67.0
2016-02-01,68.0
2016-03-01,71.0
2016-04-01,70.0
2016-05-01,71.0
2016-06-01,40.0
2016-07-01,60.0
2016-08-01,61.0
2016-09-01,58.0
2016-10-01,67.0
2016-11-01,63.0
2016-12-01,65.0
2017-01-01,61.0
2017-02-01,62.0
2017-03-01,63.0
2017-04-01,67.0
2017-05-01,68.0
2017-06-01,63.0
2017-07-01,57.0
2017-08-01,60.0
2017-09-01,59.0
2017-10-01,61.0
2017-11-01,61.0
2017-12-01,59.0
2018-01-01,66.0
2018-02-01,67.0
2018-03-01,70.0
2018-04-01,74.0
2018-05-01,74.0
2018-06-01,69.0
2018-07-01,64.0
2018-08-01,64.0
2018-09-01,62.0
2018-10-01,67.0
2018-11-01,75.0
2018-12-01,81.0
2019-01-01,76.0
2019-02-01,77.0
2019-03-01,79.0
2019-04-01,78.0
2019-05-01,80.0
2019-06-01,77.0
2019-07-01,78.0
2019-08-01,79.0
2019-09-01,73.0
2019-10-01,72.0
2019-11-01,79.0
2019-12-01,73.0
2020-01-01,78.0
2020-02-01,82.0
2020-03-01,71.0
2020-04-01,52.0
2020-05-01,59.29400672257058
2020-06-01,74.0
2020-07-01,74.0
2020-08-01,72.0
2020-09-01,72.0
2020-10-01,72.0
2020-11-01,66.09029321770376
2020-12-01,59.91719997334655
2021-01-01,57.00322714563807
2021-02-01,62.0
2021-03-01,73.0
2021-04-01,74.0
2021-05-01,67.0
2021-06-01,58.660052540255094
2021-07-01,51.25663944924284
2021-08-01,44.63775825663562
2021-09-01,39.42594601607039
2021-10-01,36.063646668695895
2021-11-01,34.67976888144025
2021-12-01,35.701554118115155
2022-01-01,39.55018335125199
2022-02-01,46.596230282916714
2022-03-01,56.0
2022-04-01,65.0
2022-05-01,60.0
2022-06-01,58.0
2022-07-01,48.0
2022-08-01,56.0
2022-09-01,56.0
2022-10-01,65.0
2022-11-01,58.0
2022-12-01,62.0
2023-01-01,57.08208084106445
2023-02-01,59.344261169433594
2023-03-01,49.617401123046875
2023-04-01,60.59419631958008
2023-05-01,64.1494140625
2023-06-01,55.236236572265625
2023-07-01,58.05701446533203
2023-08-01,58.667545318603516
2023-09-01,47.706581115722656
2023-10-01,52.19641876220703
2023-11-01,55.20782470703125
2023-12-01,59.455345153808594
