date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
01-01-2015,23.55,65.12,1.75,130.69,0.38,0.37,9.94,97.12,24.31,0.23,-1.40015,0.96675,1.70148
02-01-2015,23.34,71.88,1.88,141,0.43,0.54,17.78,97.4,1,0.23,-1.74316,1.00767,2.01346
03-01-2015,20.17,88.62,1.87,154.25,0.16,0.66,14.37,97.6,3.82,0.23,-2.03657,1.0299,2.28217
04-01-2015,20.72,74.56,2.25,73,0.34,0.56,18.38,97.74,0,0.23,-2.26712,1.02739,2.48905
05-01-2015,18.68,59.81,2.09,18.5,0.66,0.53,16.19,97.75,0,0.23,-2.42346,0.99678,2.62044
06-01-2015,17.94,49.25,1.53,37.38,0.73,0.52,16.47,97.71,0,0.23,-2.49694,0.93809,2.66735
07-01-2015,19.53,41.81,1.23,154.25,0.73,0.52,17.12,97.57,0,0.23,-2.48277,0.85432,2.62565
08-01-2015,17.62,49.69,1.58,98.31,0.71,0.52,16.23,97.7,0,0.23,-2.38097,0.74982,2.49625
09-01-2015,16.54,50.56,1.77,32,0.72,0.52,14.85,97.88,0,0.23,-2.19706,0.62845,2.28518
10-01-2015,17.22,44.5,1.42,42,0.73,0.52,15.11,97.87,0,0.23,-1.94189,0.49255,2.00338
11-01-2015,16.77,45.31,1.84,47.12,0.72,0.52,15.1,97.86,0,0.23,-1.63086,0.34295,1.66653
12-01-2015,18.21,41.25,1.27,50.56,0.73,0.51,14.52,97.78,0,0.23,-1.28264,0.18002,1.29521
13-01-2015,18.37,42.44,1.23,45.44,0.72,0.51,14.27,97.66,0,0.23,-0.91755,0.0048,0.91756
14-01-2015,19.28,41.38,1.27,104.88,0.7,0.49,14.8,97.58,0,0.23,-0.556,-0.18001,0.58441
15-01-2015,18.44,45.88,1.53,90.94,0.7,0.48,13.66,97.65,0,0.23,-0.21689,-0.36973,0.42865
16-01-2015,18.62,48.06,1.41,73.25,0.69,0.47,12.51,97.7,0,0.23,0.08367,-0.55798,0.56422
17-01-2015,18.44,48.81,1.61,44.69,0.66,0.45,11.46,97.77,0,0.23,0.3333,-0.73739,0.80921
18-01-2015,18.24,48.62,1.55,43.31,0.67,0.44,10.4,97.78,0,0.23,0.52395,-0.90049,1.04183
19-01-2015,18.3,45.69,1.7,71.12,0.66,0.42,9.76,97.73,0,0.23,0.65201,-1.0407,1.22808
20-01-2015,19.3,46.62,2.2,109.12,0.52,0.41,8.4,97.81,0,0.23,0.71811,-1.153,1.35834
21-01-2015,20.44,53.12,2.71,121.25,0.48,0.4,6.52,97.98,0,0.23,0.72672,-1.23433,1.43237
22-01-2015,21.04,51.69,2.48,143.06,0.55,0.39,6.68,97.9,0,0.23,0.68555,-1.28368,1.45527
23-01-2015,21.92,47.75,1.73,116.38,0.59,0.38,7.22,97.7,0,0.23,0.60477,-1.30201,1.43561
24-01-2015,22.55,47.75,1.92,99.31,0.59,0.37,6.2,97.74,0,0.23,0.49626,-1.29195,1.38398
25-01-2015,22.73,48.44,2.49,135.62,0.61,0.36,5.29,97.79,0,0.23,0.37272,-1.25762,1.31169
26-01-2015,23.01,46.19,2.23,144.88,0.56,0.34,5.16,97.68,0.26,0.23,0.24675,-1.20429,1.22931
27-01-2015,22.89,44.5,1.85,141.44,0.63,0.34,5.16,97.59,0,0.23,0.13,-1.13811,1.14551
