,AQI
2016-01-01,108.0
2016-02-01,92.0
2016-03-01,76.0
2016-04-01,74.0
2016-05-01,56.0
2016-06-01,45.0
2016-07-01,36.0
2016-08-01,41.0
2016-09-01,38.0
2016-10-01,59.0
2016-11-01,94.0
2016-12-01,104.0
2017-01-01,107.0
2017-02-01,98.0
2017-03-01,73.0
2017-04-01,79.0
2017-05-01,77.0
2017-06-01,67.0
2017-07-01,41.0
2017-08-01,62.0
2017-09-01,69.0
2017-10-01,71.0
2017-11-01,81.0
2017-12-01,85.0
2018-01-01,136.0
2018-02-01,112.0
2018-03-01,105.0
2018-04-01,98.0
2018-05-01,100.0
2018-06-01,102.0
2018-07-01,89.0
2018-08-01,92.0
2018-09-01,94.0
2018-10-01,97.0
2018-11-01,104.0
2018-12-01,100.0
2019-01-01,116.0
2019-02-01,109.0
2019-03-01,105.0
2019-04-01,105.0
2019-05-01,104.0
2019-06-01,99.0
2019-07-01,102.0
2019-08-01,100.0
2019-09-01,87.0
2019-10-01,105.0
2019-11-01,107.0
2019-12-01,108.0
2020-01-01,108.0
2020-02-01,108.0
2020-03-01,88.0
2020-04-01,74.0
2020-05-01,91.0
2020-06-01,73.0
2020-07-01,63.0
2020-08-01,56.0
2020-09-01,56.0
2020-10-01,61.0
2020-11-01,97.0
2020-12-01,124.0
2021-01-01,111.0
2021-02-01,113.0
2021-03-01,99.0
2021-04-01,136.0
2021-05-01,59.0
2021-06-01,77.0
2021-07-01,104.0
2021-08-01,64.0
2021-09-01,76.0
2021-10-01,83.0
2021-11-01,106.0
2021-12-01,95.0
2022-01-01,94.0
2022-02-01,109.0
2022-03-01,88.0
2022-04-01,67.0
2022-05-01,76.0
2022-06-01,86.0
2022-07-01,68.0
2022-08-01,54.0
2022-09-01,55.0
2022-10-01,61.0
2022-11-01,114.0
2022-12-01,124.0
2023-01-01,95.97037506103516
2023-02-01,105.03570556640625
2023-03-01,106.4262924194336
2023-04-01,92.86534118652344
2023-05-01,84.67549896240234
2023-06-01,65.45377349853516
2023-07-01,81.98294067382812
2023-08-01,70.84724426269531
2023-09-01,62.81490707397461
2023-10-01,101.2967300415039
2023-11-01,85.40312957763672
2023-12-01,102.81051635742188
