,Karimnagar
2016-01-01,69
2016-02-01,59
2016-03-01,44
2016-04-01,62
2016-05-01,52
2016-06-01,48
2016-07-01,32
2016-08-01,36
2016-09-01,31
2016-10-01,56
2016-11-01,69
2016-12-01,84
2017-01-01,84
2017-02-01,75
2017-03-01,86
2017-04-01,79
2017-05-01,82
2017-06-01,59
2017-07-01,55
2017-08-01,55
2017-09-01,62
2017-10-01,71
2017-11-01,91
2017-12-01,90
2018-01-01,111
2018-02-01,87
2018-03-01,89
2018-04-01,100
2018-05-01,100
2018-06-01,100
2018-07-01,89
2018-08-01,91
2018-09-01,100
2018-10-01,98
2018-11-01,106
2018-12-01,100
2019-01-01,104
2019-02-01,102
2019-03-01,103
2019-04-01,109
2019-05-01,103
2019-06-01,99
2019-07-01,100
2019-08-01,99
2019-09-01,97
2019-10-01,102
2019-11-01,105
2019-12-01,112
2020-01-01,104
2020-02-01,102
2020-03-01,103
2020-04-01,109
2020-05-01,103
2020-06-01,99
2020-07-01,100
2020-08-01,99
2020-09-01,97
2020-10-01,102
2020-11-01,105
2020-12-01,112
2021-01-01,111
2021-02-01,114
2021-03-01,110
2021-04-01,39
2021-05-01,72
2021-06-01,58
2021-07-01,114
2021-08-01,70
2021-09-01,96
2021-10-01,137
2021-11-01,114
2021-12-01,108
2022-01-01,82
2022-02-01,90
2022-03-01,96
2022-04-01,70
2022-05-01,76
2022-06-01,89
2022-07-01,69
2022-08-01,55
2022-09-01,58
2022-10-01,63
2022-11-01,101
2022-12-01,126
2023-01-01,102.6207969493866
2023-02-01,96.98817840051876
2023-03-01,96.82052646466731
2023-04-01,87.38525723451272
2023-05-01,89.80347018790944
2023-06-01,84.24359507204846
2023-07-01,84.82319303932958
2023-08-01,76.71746756544374
2023-09-01,81.51043751144184
2023-10-01,93.7666695955688
2023-11-01,102.27484463141933
2023-12-01,107.77821917061674
