,AQI
2016-01-01,62.0
2016-02-01,64.0
2016-03-01,66.0
2016-04-01,68.0
2016-05-01,69.0
2016-06-01,38.0
2016-07-01,57.0
2016-08-01,58.0
2016-09-01,56.0
2016-10-01,64.0
2016-11-01,60.0
2016-12-01,62.0
2017-01-01,64.0
2017-02-01,64.0
2017-03-01,68.0
2017-04-01,69.0
2017-05-01,71.0
2017-06-01,66.0
2017-07-01,62.0
2017-08-01,60.0
2017-09-01,61.0
2017-10-01,65.0
2017-11-01,63.0
2017-12-01,64.0
2018-01-01,61.0
2018-02-01,61.0
2018-03-01,66.0
2018-04-01,70.0
2018-05-01,54.0
2018-06-01,64.0
2018-07-01,59.0
2018-08-01,60.0
2018-09-01,64.0
2018-10-01,48.0
2018-11-01,60.0
2018-12-01,62.0
2019-01-01,64.0
2019-02-01,61.0
2019-03-01,61.0
2019-04-01,62.0
2019-05-01,64.0
2019-06-01,69.0
2019-07-01,72.0
2019-08-01,71.0
2019-09-01,61.0
2019-10-01,69.0
2019-11-01,62.0
2019-12-01,66.0
2020-01-01,64.0
2020-02-01,64.0
2020-03-01,66.0
2020-04-01,38.0
2020-05-01,50.0
2020-06-01,52.0
2020-07-01,63.0
2020-08-01,60.0
2020-09-01,62.0
2020-10-01,62.0
2020-11-01,63.0
2020-12-01,81.0
2021-01-01,69.0
2021-02-01,68.0
2021-03-01,66.0
2021-04-01,69.0
2021-05-01,41.0
2021-06-01,41.321270917383494
2021-07-01,54.0
2021-08-01,45.0
2021-09-01,43.0
2021-10-01,59.0
2021-11-01,66.0
2021-12-01,57.0
2022-01-01,56.0
2022-02-01,59.0
2022-03-01,64.0
2022-04-01,58.0
2022-05-01,56.0
2022-06-01,54.0
2022-07-01,46.0
2022-08-01,53.0
2022-09-01,54.0
2022-10-01,63.0
2022-11-01,56.0
2022-12-01,59.0
2023-01-01,58.116371154785156
2023-02-01,59.616737365722656
2023-03-01,62.05474090576172
2023-04-01,64.36597442626953
2023-05-01,49.63993835449219
2023-06-01,59.031044006347656
2023-07-01,46.712703704833984
2023-08-01,54.9377326965332
2023-09-01,53.409271240234375
2023-10-01,55.11505126953125
2023-11-01,60.296363830566406
2023-12-01,54.27194595336914
