date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
01-01-2015,24.88,59.88,2.19,161.25,0.41,0.27,4.31,96.03,8.27,0.23,-1.40015,0.96675,1.70148
02-01-2015,23.84,68.31,2.04,133.12,0.49,0.52,15.21,96.32,0,0.23,-1.74316,1.00767,2.01346
03-01-2015,21.12,82.81,1.99,184.25,0.29,0.55,12.55,96.52,2.02,0.23,-2.03657,1.0299,2.28217
04-01-2015,21.04,73.25,2.14,29.12,0.45,0.53,14.45,96.67,0,0.23,-2.26712,1.02739,2.48905
05-01-2015,19.63,61.25,2.2,33.19,0.65,0.51,13.36,96.66,0,0.23,-2.42346,0.99678,2.62044
06-01-2015,19,47.56,1.62,46.94,0.73,0.48,13.14,96.62,0,0.23,-2.49694,0.93809,2.66735
07-01-2015,20.08,42.06,1.5,147.44,0.7,0.45,12.5,96.5,0,0.23,-2.48277,0.85432,2.62565
08-01-2015,18.55,42.56,1.58,26,0.7,0.43,10.5,96.62,0,0.23,-2.38097,0.74982,2.49625
09-01-2015,17.99,39.75,1.91,40.38,0.73,0.4,8.51,96.78,0,0.23,-2.19706,0.62845,2.28518
10-01-2015,17.93,35.81,1.8,56.88,0.73,0.38,7.01,96.79,0,0.23,-1.94189,0.49255,2.00338
11-01-2015,18.13,33.94,2.03,38.56,0.72,0.36,5.96,96.78,0,0.23,-1.63086,0.34295,1.66653
12-01-2015,18.63,32.94,1.8,74.56,0.73,0.34,5.11,96.7,0,0.23,-1.28264,0.18002,1.29521
13-01-2015,19.56,30.69,1.6,70.56,0.71,0.32,4.59,96.58,0,0.23,-0.91755,0.0048,0.91756
14-01-2015,19.98,30.69,1.66,104.69,0.69,0.3,4.34,96.5,0,0.23,-0.556,-0.18001,0.58441
15-01-2015,19.93,43.75,2.17,105.44,0.64,0.3,2.77,96.55,0,0.23,-0.21689,-0.36973,0.42865
16-01-2015,20.27,32,1.62,88.31,0.68,0.29,3.23,96.6,0,0.23,0.08367,-0.55798,0.56422
17-01-2015,19.95,36,1.83,74.75,0.66,0.27,2.51,96.67,0,0.23,0.3333,-0.73739,0.80921
