,"Mee-Seva, Warangal"
2016-01-01,76
2016-02-01,72
2016-03-01,63
2016-04-01,73
2016-05-01,84
2016-06-01,68
2016-07-01,63
2016-08-01,38
2016-09-01,52
2016-10-01,61
2016-11-01,83
2016-12-01,84
2017-01-01,76
2017-02-01,78
2017-03-01,71
2017-04-01,72
2017-05-01,68
2017-06-01,61
2017-07-01,48
2017-08-01,60
2017-09-01,62
2017-10-01,62
2017-11-01,76
2017-12-01,78
2018-01-01,105
2018-02-01,94
2018-03-01,80
2018-04-01,82
2018-05-01,83
2018-06-01,85
2018-07-01,71
2018-08-01,76
2018-09-01,80
2018-10-01,87
2018-11-01,95
2018-12-01,87
2019-01-01,91
2019-02-01,91
2019-03-01,92
2019-04-01,89
2019-05-01,93
2019-06-01,86
2019-07-01,87
2019-08-01,80
2019-09-01,73
2019-10-01,85
2019-11-01,91
2019-12-01,87
2020-01-01,89
2020-02-01,88
2020-03-01,74
2020-04-01,41
2020-05-01,65
2020-06-01,58
2020-07-01,67
2020-08-01,61
2020-09-01,55
2020-10-01,61
2020-11-01,92
2020-12-01,91
2021-01-01,81
2021-02-01,88
2021-03-01,75
2021-04-01,71
2021-05-01,51
2021-06-01,81
2021-07-01,57
2021-08-01,60
2021-09-01,55
2021-10-01,64
2021-11-01,65
2021-12-01,69
2022-01-01,73
2022-02-01,73
2022-03-01,76
2022-04-01,60
2022-05-01,77
2022-06-01,85
2022-07-01,47
2022-08-01,56
2022-09-01,48
2022-10-01,64
2022-11-01,94
2022-12-01,94
2023-01-01,88.4127825696082
2023-02-01,86.81027609022281
2023-03-01,79.02011903737109
2023-04-01,70.35941481073979
2023-05-01,74.47921796104261
2023-06-01,78.40733513615758
2023-07-01,64.56461755790427
2023-08-01,64.5181133920462
2023-09-01,61.86070835890178
2023-10-01,70.95341126704167
2023-11-01,86.94113629799324
2023-12-01,86.44643047520253
